Fornecedor,Produto / Serviço,Email,Contato telefônico,Cidade/UF,Fornecedor Local,Link,Categoria ,Status atual,Filial
AS INFORMÁTICA,LOCAÇÃO DE EQUIPAMENTOS,,Oriana (81) 3038-0034,,,,,Habilitado,Recife
CURSOR MIRAI,LOCAÇÃO DE EQUIPAMENTOS,,Cícera (11) 3879-4354 / 97337-2799 / 98842-9864,,, ,,Habilitado,Recife
AGASUS,LOCAÇÃO DE EQUIPAMENTOS,,Aline Vianeli (11) 99552-0952,,,,,Habilitado,Recife
SVC LASER,MATERIAL DE INFORMÁTICA,,(16) 3624-1881,,,,,Habilitado,Recife
QUALIDADETECH,LICENÇAS,,Felipe (11 4214-4862 | 11 99543-3265,,,,,Habilitado,Recife
365TI,MATERIAL DE INFORMÁTICA,vitorprates@365ti.com.br,,,,,,Habilitado,Recife
G3 SOLUTIONS,EQUIPAMENTOS DE INFORMÁTICA,alexandre.barros@g3solutions.com.br,Alexandre barros - 81 98173-7134,,,SITE,Normal,Habilitado,Recife
CURSOR MIRAI,EQUIPAMENTOS DE INFORMÁTICA,lmartins@cursormirai.com.br,Leila Martins - 11 3879 4349/ 11 98843 1357,,,SITE,Normal,Habilitado,Recife
IPLACE,EQUIPAMENTOS DE INFORMÁTICA,jessica.censi@iplace.com.br,Jessica Cenci - 4020-7900 ramal:8786 / (51) 8414-0928,,,SITE,Normal,Habilitado,Recife
HT SOLUTIONS,EQUIPAMENTOS DE INFORMÁTICA,maicol@htsolutions.com.br,Maicol Pinto :51 9 9642-0686,,,SITE,Normal,Habilitado,Recife
HARDLINK,EQUIPAMENTOS DE INFORMÁTICA,christiano.vieira@hardlink.com.br,Christiano Vieira - (51) 3017.6028,,,SITE,Normal,Habilitado,Recife
HAVITECH,EQUIPAMENTOS DE INFORMÁTICA,igor.marsolla@havitech.com.br,Igor Marsolla - 11 3135 5405/ 11 3639 9502,,,SITE,Normal,Habilitado,Recife
LENOVO ,EQUIPAMENTOS DE INFORMÁTICA,asouza15@lenovo.com ,Andre Souza - 11 2112-1310,,,,Normal,Habilitado,Recife
BRASMUNDI,SERVIÇO DE DESPACHANTE,cilayne@brasmundi.com.br,Cilayne Lima - (81) 3092.3343,,,SITE,Crítico,Habilitado,Recife
UP LOGIST,AGENTE DE CARGAS,diego.bezerra@uplogistic.com.br,Diego Bezerra - 81 3089 5500 / 81 9949 02207,,,,Normal,Habilitado,Recife
ROUPA LIMPA,LAVANDERIA,ronildo@lavanderiaroupalimpa.com.br,,,,,Normal,Habilitado,Recife
X GRÁFICA SINALIZAÇÃO,MATERIAL GRÁFICO,xgraficasinalizacao@gmail.com,Assis - (81) 7112-3803,,,,Normal,Habilitado,Recife
COPIADORA NACIONAL,MATERIAL GRÁFICO,roberta@copiadoranacional.com.br,Roberta - (81) 8649-2396,,,,Normal,Habilitado,Recife
ÉPURA,MATERIAL GRÁFICO,lucicleide@epura.com.br,Cleide - (81) 3217.2850,,,,Normal,Habilitado,Recife
PUBLI,MATERIAL GRÁFICO,elaine.torres@publipre.com.br orcamento@publipre.com.br, ,,,,Normal,Habilitado,Recife
BITS,MATERIAL GRÁFICO,contato@bitsstudiografico.com,Joce - 81 3126.0723,,,,Normal,Habilitado,Recife
BAÚ DA ELETRÔNICA,COMPONENTES ELETRÔNICOS,,,,,,,Habilitado,Recife
MONARA,MATERIAL DE INFORMÁTICA,,,,,,,Habilitado,Recife
DITI,MATERIAL DE INFORMÁTICA,diogo@diti.com.br,Diogo Figueiredo - 51 98252 9171,,,SITE,Normal,Habilitado,Recife
SÓ MARCAS,BRINDES,comercial4@somarcas.com.br,Anne - (11) 95681.5899,,,SITE,Normal,Habilitado,Recife
ROUPA LIMPA,LAVANDERIA,ronildo@lavanderiaroupalimpa.com.br,Ronildo - 81 - 32280234,,,,Normal,Habilitado,Recife
FINO NORDESTE,COFFE BREAK,mauro@finonordeste.com.br,81 3459 -6888,,,,Normal,Habilitado,Recife
PERSONAL BRINDES,BRINDES,felipe@personalbrindes.com.br,Felipe - 81 99172 - 2568,,,,Normal,Habilitado,Recife
GNOATTO MÓVEIS,MÓVEIS E DECORAÇÕES,contatognoatto@gmail.com,41 3288-8051,,,,Normal,Habilitado,Recife
QUALIGRAFF,MATERIAL GRÁFICO,,41 3018-5567 // 14 99531-0768,,,SITE,Normal,Habilitado,Recife
BROTFABRIK,COFFE BREAK,,Veronica ou Marcia 81 3424 -2250,,, ,,Habilitado,Recife
SAE SERVIÇOS,SERVIÇO DE DESPACHANTE,irapuan@saeservicos.com.br,Irapuan - 81-98441-2285,,,,Normal,Habilitado,Recife
EDINALDO FRANCISCO GONÇALVES ME,SERVIÇOS,vid.fazendinha@hotmail.com,(41) 3245-4814,,,,Normal,Habilitado,Recife
GIULIANA FLORES ,FLORES,televendas11@giulianaflores.com.br,(11) 3383-1700,,,SITE,,Habilitado,Recife
PAKTUALL CONFECÇÕES,BRINDES,cbcoelho56@hotmail.com,81 9417-7638,,,,Normal,Habilitado,Recife
PRODERG SUPRIMENTOS,MATERIAL ERGONÔMICO,vendas02@proderg.com.br,Ely Maróstica (11) 2625-2233,,,SITE,Normal,Habilitado,Recife
LIGAÇÃO HOME CENTER,CONSTRUÇÃO E REFORMA,luiz@ligacao.com.br ,Luiz (11) 3209-5000,,,SITE,Normal,Habilitado,Recife
ARTESANA,CONSTRUÇÃO E REFORMA,lizandra@artesana.com.br,(11) 2066-7447 / (11) 96386-7755,,,SITE,Normal,Habilitado,Recife
DUTRA MÁQUINAS,FERRAMENTAS,,Televendas (11) 2795-8800,,,SITE,Normal,Habilitado,Recife
LOJA DO MECÂNICO,FERRAMENTAS,,Televendas (11) 3508-9979,,,SITE,Normal,Habilitado,Recife
J.CARLOS MÓVEIS,MÓVEIS E DECORAÇÕES,vendas1caruaru@jcarlosmoveispe.com.br ,(81) 99490-1617,,,,Normal,Habilitado,Recife
BORTOLINI,MÓVEIS E DECORAÇÕES,comercial2.recife01@bortolini.com.br,Ana Paula (81) 99665-1058,,,SITE,Normal,Habilitado,Recife
LEROY MERLIM,CONSTRUÇÃO E REFORMA,suportesite@leroymerlin.com.br ,(11) 4007-1380 / 0800-602-1380 ,,,SITE,Normal,Habilitado,Recife
DS DIAGNÓSTICA,EQUIPAMENTOS PARA LABORATÓRIO,contato@equipamentosparalaboratorio.com,(11) 4997-7702 / (11) 99278-5986,,,SITE,Normal,Habilitado,Recife
ABNT CATÁLOGO,LIVROS E PERIÓDICOS,atendimento.sp@abnt.org.br,(11) 3017-3610 / 3648 / 3663,,,SITE,Normal,Habilitado,Recife
PROJECT DESIGN MANAGEMENT,LIVROS E PERIÓDICOS,atendimento@mundopm.com.br,(11) 3661-1550 / (41) 3029 - 9397,,,SITE,Normal,Habilitado,Recife
FELICITY,FLORES,,,,,,Normal,Habilitado,Recife
GIGANTEC COMÉRCIO ELETRÔNICO EIRELI,EQUIPAMENTOS DE INFORMÁTICA,atendimento@gigantec.com.br,(41) 3033-7179,Recife,,SITE,Normal,Habilitado,Recife
MARITEL COMERCIO E SERVICOS ELETRICOS,MATERIAL ELÉTRICO,albuquerquemoacir1@gmail.com ,(81) 3443-2279,Curitiba,,,Normal,Habilitado,Recife
MAFEMA,MATERIAL ELÉTRICO,cobranca@mafemamateriaiseletricos.com.br,(81) 3339-3052,Recife,,,Normal,Habilitado,Recife
CRISTAL ENGENHARIA,CONSTRUÇÃO E REFORMA,erico.cristal@hotmail.com ,(81)3052-0375,Recife,,,Normal,Habilitado,Recife
VM PROJETOS,CONSTRUÇÃO E REFORMA,vmprojetos@vmprojetos.eng.br,(81) 99296-5229,Recife,,,Normal,Habilitado,Recife
MGM ENGENHARIA,CONSTRUÇÃO E REFORMA,mgrengenharia@uol.com.br,(81) 999949722,Recife,,,Normal,Habilitado,Recife
VAUNIX,IMPORTAÇÃO,sblanchard@vaunix.com,978-662-7839,,,SITE,Crítico,Habilitado,Recife
CONNECT PARTS,EQUIPAMENTOS DE INFORMÁTICA,vendas@connectparts.com.br,(14)99832-6012,,,SITE,Normal,Habilitado,Recife
ELETRODEX,COMPONENTES ELETRÔNICOS,,(32) 3351-1157 - (32) 3351-2697,,,SITE,Normal,Habilitado,Recife
A5 FACHADAS,DIVISÓRIAS E FACHADAS,comercial.a5fachadas@gmail.com ,Fernando (81) 999610-2877,Recife,,,Normal,Habilitado,Recife
ONDA ACUSTICA ARQUITETONICA E SONORIZAÇÃO,ACUSTICA E SONORIZAÇÃO,brunomotenegro2@gmail.com,Bruno (81) 99740567,Recife,,,Normal,Habilitado,Recife
WOORD PALLETS,PALLETS,vendas.pallet@gmail.com,FELIPE NOBLAT - ( 81) 99910-0396,Recife,,,Normal,Habilitado,Recife
WANDERLEI ESTOFADOS,ESTOFAMENTOS,,"Wanderlei (81) 99829-2751
",Recife,,,Normal,Habilitado,Recife
TOK & STOK,MÓVEIS E DECORAÇÕES,gerrms@tokstok.com.br,FELIPE SOARES (GERENTE) 81 2127-4440,Recife,,,Normal,Habilitado,Recife
WAGNER FORTUNA,FRETES E CARRETOS,,"WAGNER 81 98728-4637
",Recife,,,Normal,Habilitado,Recife
SPECOLOGIA,BRINDES,  vendas3@spbrindes.com.br ,"Renata Bitencous - (11)2364-8523 - Ramal 203
",São Paulo,,,Normal,Habilitado,Recife
SIGNFIX - SINALIZAÇÃO E IMPRESSÃO DIGITAL,MATERIAL GRÁFICO,atendimento@signfix.com.br,"Veraldo (81) 98835-1219  /   98688-7504 / 3241-4129
",Recife,,,Normal,Habilitado,Recife
SÉRGIO ENCANADOR,SERVIÇO HIDRAULICO,,"SERGIO - (81) 98819-8015
",Recife,,,Normal,Habilitado,Recife
SANTANA MARCINEIRO,SERVIÇO DE MARCENARIA E CERRALHARIA,,"SANTANA 81 99652-9588
",Recife,,,Normal,Habilitado,Recife
SAFE CLEAN RECIFE,LIMPEZA DE ESTOFADOS,kathllen@safeclean.com.br,"TACIANA CARNEIRO LEÃO - 81 9968-3037
",Recife,,,Normal,Habilitado,Recife
ROXTON,CONSTRUÇÃO E REFORMA,roxton@bol.com.br,"China - 81-34447639
",Recife,,,Normal,Habilitado,Recife
PIANINI MÓVEIS PLANEJADOS,MÓVEIS PLANEJADOS,rafael@pianini.com.br,"Rafael - 81 99529-0102 / 81 3040-1107
",Recife,,,Normal,Habilitado,Recife
MOTOBOY,FRETES E CARRETOS,,"Daniela - 81 99927-1833
",Recife,,,Normal,Habilitado,Recife
LUGO ENGENHARIA LTDA,CONSTRUÇÃO E REFORMA,lugo@lugoengenharia.com.br,81 32419909 / 81 999489226,,,,Normal,Habilitado,Recife
RICELLI BUCA,MÓVEIS PLANEJADOS,,"RICELLI 81 98413-5670
",Recife,,,Normal,Suspenso,Recife
PERFIL COMERCIO DE FORROS E DIVISORIAS LTDA,SERV. E INSTALAÇÃO DE PORTAS E DIVISÓRIAS,,81 3323-3760,,,,Normal,Habilitado,Recife
OTIS,MANUTENÇÃO EM ELEVADORES,,"0800 704 8783 /  LAZARENO 81 3092-4900
",Recife,,,Normal,Habilitado,Recife
ATLAS SCHINDLER,MANUTENÇÃO EM ELEVADORES,,0800 055 1918,,,,Normal,Habilitado,Recife
ATLAS SCHINDLER,MANUTENÇÃO EM ELEVADORES,,"Superv. Regional Recife - 081 99665 - 6373
",Recife,,,Normal,Habilitado,Recife
ATLAS SCHINDLER,MANUTENÇÃO EM ELEVADORES,,"Rafaela Regional Recife - 081 99601 - 6229
",Recife,,,Normal,Habilitado,Recife
THYSSENKRUPP,MANUTENÇÃO EM ELEVADORES,,"3003-0499
",,,,,Habilitado,Recife
SYSTEM,ASSISTENCIA AUTORISADA SANSUNG,,81 - 3090 - 3988,Recife,,,Crítico,Habilitado,Recife
NORTEL,MATERIAL ELÉTRICO,,"Leila - 81 2137-7737
",Recife,,,Normal,Habilitado,Recife
NEW POWER GRUPOS GERADORES,MANUTENÇÃO GRUPO GERADOR,edsonfilho.fpe@newpowergeradores.com.br ,"Edson - 81 3204-7949
",Recife,,,Normal,Habilitado,Recife
NESUL GRUPOS GERADORES,MANUTENÇÃO GRUPO GERADOR,,"Cristhine - 81 3048-5060 / 99626-8153 / 98827-8153
",Recife,,,Normal,Habilitado,Recife
MUNDO DAS ÁGUAS,PURIFICADOR DE ÁGUA,,"ÁUREA - 81 98103-8535
",Recife,,,Normal,Habilitado,Recife
LUGO ENGENHARIA LTDA,CONSTRUÇÃO E REFORMA,lugo@lugoengenharia.com.br,81 32419909 / 81 999489226,Recife,,,Normal,Habilitado,Recife
RAPOSO EXPRESS,FRETES E CARRETOS,,Lucas Raposo - 81 9807-9924,Recife,,,Normal,Habilitado,Recife
DESTAK SOLUÇÕES EM INCÊNDIO,INCÊDIO,,Sandro - 81 98859-7431,,,,Normal,Habilitado,Recife
LITORAL BANHEIROS QUÍMICOS (V E MOREIRA LINS – ME),BANHEIROS QUÍMICOS,litoralbanheirosquimicos@gmail.com,"IANA RENATA - 3083-1372 / 8673-0762 / 9812-5679
",Recife,,,Crítico,Habilitado,Recife
LIMPSERVICE LTDA,SERV. DE LIMPEZA E CONSERVAÇÃO,limpserviceltda10@gmail.com,81 3424 - 5377,Recife,,,Normal,Habilitado,Recife
LÍBIA CINTRA,SERV. DE DEDETIZAÇÃO,,81 3080-2898 / 99984-7762 / 98530-6062,Recife,,,Normal,Habilitado,Recife
JAGUAR,MATERIAL ELÉTRICO,,"Eduardo - 81 3472-3000
",Recife,,,Normal,Habilitado,Recife
ISO LIMP - IGOR SANTANA DE OLIVEIRA,SERV. DE LIMPEZA E CONSERVAÇÃO,oliveiraigorfa@hotmail.com,"Igor - (81) 9541-0698
",Recife,,,Normal,Habilitado,Recife
INTRAL,MATERIAL ELÉTRICO,,"Kattyane - 81 3342-4060
",Recife,,,Normal,Habilitado,Recife
IDEALTEC - CONSTRUÇÕES E SERV.,CONSTRUÇÃO E REFORMA,idealtec@idealtecpe.com.br,"Paulo Corrêa - 81 98834-9595
",Recife,,,,Habilitado,Recife
CENÁRIO - FERRO - INOX,MÓVEIS PLANEJADOS,cenarioferroinox@gmail.com,(81) 3493-2168 Fabrica,Recife,,,Normal,Habilitado,Recife
CENÁRIO - FERRO - INOX,MÓVEIS PLANEJADOS,cenarioferroinox@gmail.com,Aderaudo - 81 - 98833-1092,Recife,,,Normal,Habilitado,Recife
LETZ DESIGN,DESIGN PROJETOS,,Marcos Milet - 81 99996-6476,Recife,,,Normal,Habilitado,Recife
MONGERAL,SEGURO PREDIAL,,Dulce Duarte - 81 98178-9039,recife,,,Normal,Habilitado,Recife
Fox Express,TRANSPORTADORA,financeiro@foxexpress.com.br ,Atendimento - 55 41 9810-4766,Curitiba,Sim,https://www.foxexpress.com.br/,Normal,Habilitado,Recife
,,,,,Sim,,,Habilitado,Recife
,,,,,,,,Habilitado,
INFOSTORE,MATERIAL DE INFORMÁTICA,miguel.freire@infostore,Miguel Monteles (92) 98417-4781,Manaus - AM,Sim,InfoStore,Normal,Habilitado,Manaus
TRUEDATA,MATERIAL DE INFORMÁTICA,janaina@truedata.com.br,Janaína (92) 98216-6903,Manaus - AM,Sim,TrueData,Normal,Habilitado,Manaus
SVI INSTALAÇÕES LDTA,CONSTRUÇÃO E REFORMA,notafiscal@svi-am.com.br,(92) 3233-0332,Manaus - AM,Sim,,Normal,Habilitado,Manaus
BEMOL,COMPONENTES ELETRÔNICOS,celsa@bemol.com.br,(92) 3133-3917,Manaus - AM,Sim,Bemol,Normal,Habilitado,Manaus
IMPORTADORA LUANJO LTDA,CONSTRUÇÃO E REFORMA,faturamento@importadoraluanjo.com.br,(92) 3624-4588,Manaus - AM,Sim,LuAnjo,Normal,Habilitado,Manaus
"FBX ARQUITETURA, CONSTRUÇÕES E CONSULTORIA EIRELI",SERVIÇOS,fernando1811@sapo.pt,Fernando (92) 992206363,Manaus - AM,Sim,,Normal,Habilitado,Manaus
COCIL HOME CENTER,CONSTRUÇÃO E REFORMA,nfe01@cocil.com.br,(92)21018800,Manaus - AM,Sim,Cocil,Normal,Habilitado,Manaus
REVEST HOUSE COMERCIO DE PISOS LTDA,CONSTRUÇÃO E REFORMA,vendas1@grupocvn.com,(92) 3633-6676,Manaus - AM,Sim,,Normal,Habilitado,Manaus
COMERCIO DE MIUDEZAS BANDEIRA LTDA,MATERIAL DE ESCRITÓRIO,importadoratropical@uol.com.br,(92) 6336-161,Manaus - AM,Sim,Tropical Multloja,Normal,Habilitado,Manaus
POOL ELÉTRICA,CONSTRUÇÃO E REFORMA,pool@poolengenharia.com,Bruno (92) 984309048,Manaus - AM,Sim,,Normal,Habilitado,Manaus
INOVARTE,SERVIÇOS,financeiro@inovarteimpressos.com.br,(92) 9449-3272,Manaus - AM,Sim,,Normal,Habilitado,Manaus
ARCO IRIS,MATERIAL DE ESCRITÓRIO,arcoiris_festa@hotmail.com,(92) 9474-1890,Manaus - AM,Sim,,Normal,Habilitado,Manaus
JG MÓVEIS,MÓVEIS PLANEJADOS,contato@jgmoveis.com.br,(92) 3633-1833,Manaus - AM,Sim,JG Móveis,Normal,Habilitado,Manaus
IMPOLUT,CONSTRUÇÃO E REFORMA,victor@impolut.com.br,(92) 3090-0010,Manaus - AM,Sim,Impolut,Normal,Habilitado,Manaus
GUEPARDO EXPRESS,FRETES E CARRETOS,ana.ale.emu@gmail.com,(92) 8274-5914,Manaus - AM,Sim,,Normal,Habilitado,Manaus
CLIMA NORTE REFRIGERACAO EIRELI,CONSTRUÇÃO E REFORMA,vendas2@aristeurefrigeracao.com.br,(92) 9159-9379/ (92) 8119-5623,Manaus - AM,Sim,Norte Refrigeração,Normal,Habilitado,Manaus
CASA DOS PURIFICADORES,PURIFICADOR DE ÁGUA,lc-franco@hotmail.com,(92) 3237-4858/ (92) 9976-9127,Manaus - AM,Sim,,Normal,Habilitado,Manaus
LIMP CLEAN,LAVANDERIA,limpcleanmanaus@gmail.com,(92) 9183-2300,Manaus - AM,Sim,Limp Clean,Normal,Habilitado,Manaus
DISTEK,MATERIAL ELÉTRICO,diretoria@disteck.com.br,(92) 3199-1001,Manaus - AM,Sim,,Normal,Habilitado,Manaus
CASA DAS CORREIAS,MATERIAL ELÉTRICO,casadascorreias@internext.com.br,(92) 6234-037,Manaus - AM,Sim,,Normal,Habilitado,Manaus
QUEIROZ,MATERIAL DE ESCRITÓRIO,jocelino@comercialqueiroz.com,(92) 3305-2727,Manaus - AM,Sim,Queiroz,Normal,Habilitado,Manaus
DINAMICA,MÓVEIS E DECORAÇÕES,sac.web@dinamicautil.com.br, (92) 99226-6425 / 99227-3543,Manaus - AM,Sim,Dinamica,Normal,Habilitado,Manaus
BENY MATERIAL DE CONSTRUÇÃO,CONSTRUÇÃO E REFORMA,beny@argo@argo.com.br,(92) 2129-0804,Manaus - AM,Sim,Beny,Normal,Habilitado,Manaus
SANITECK,SERV. DE DEDETIZAÇÃO,auditoria@saniteck.com.br,(92) 3612-1234/ (92) 3612-1228,Manaus - AM,Sim,Saniteck,Normal,Habilitado,Manaus
BOLO EMPILHADO,SERVIÇOS,wollace-21@hotmail.com,(92) 9234-9316,Manaus - AM,Sim,,Normal,Habilitado,Manaus
B A ELETRICA LTDA,CONSTRUÇÃO E REFORMA,financeiro@baeletrica.com.br,(92) 2125-8000,Manaus - AM,Sim,,Normal,Habilitado,Manaus
NOVA KASA MODULADOS,FERRAMENTAS,mcojr1@hotmail.com,(92) 3213-9551,Manaus - AM,Sim,,Normal,Habilitado,Manaus
JLM SOLUCOES,MATERIAL GRÁFICO,contato@jlmsolucoes.com.br,(92)991422179 - (92)91142209,Manaus - AM,Sim,,Normal,Habilitado,Manaus
LILI E VIVI DELICIAS REGIONAIS,COFFE BREAK,lafmanaus@gmail.com,(92) 9449-3272,Manaus - AM,Sim,,Normal,Habilitado,Manaus
SHALOM CONFECCOES,SERVIÇOS,shalomuniformes@gmail.com,(92) 9264-2793,Manaus - AM,Sim,,Normal,Habilitado,Manaus
A G PARK,SERVIÇOS,agpark@agpark.com.br,(92) 8813-4228,Manaus - AM,Sim,,Normal,Habilitado,Manaus
"BUFFET SAO PAULO CERIMONIALE EVENTOS
",COFFE BREAK,centraldeeventos@centraldeeventosmanaus.com.br,(92) 9105-0769/ (92) 9495-0218,Manaus - AM,Sim,,Normal,Habilitado,Manaus
ARMARINHO LIDER,MÓVEIS E DECORAÇÕES,armarinholider@yahoo.com,(92) 3302-4962/ (92) 8409-2765,Manaus - AM,Sim,,Normal,Habilitado,Manaus
RAMSONS,MATERIAL DE INFORMÁTICA,marly@ramsons.com.br,Henrique (92) 9331-9787,Manaus - AM,Sim,Ramsons,Normal,Habilitado,Manaus
MAIS MAIS DELICIA,SERVIÇOS,gizelda_alves32@yahoo.com.br,(92) 9122-2209,Manaus - AM,Sim,,Normal,Habilitado,Manaus
CASA DOS COMPRESSORES,MATERIAL ELÉTRICO,financeiro@casadoscompressores.com,(92) 3622-8968/ (92) 3622-8968,Manaus - AM,Sim,Casa dos Compressores,Normal,Habilitado,Manaus
NEGO BOM,COFFE BREAK,negobom@negobom.com.br,(92) 3231-1908/ (92) 98125-1124,Manaus - AM,Sim,Nego Bom,Normal,Habilitado,Manaus
CATS TORTERIA,COFFE BREAK,vidalmarcio@gmail.com,(92) 8111-1118/ (92) 9221-4440,Manaus - AM,Sim,Cats Torteria,Normal,Habilitado,Manaus
CASA DO ELETRECISTA,MATERIAL ELÉTRICO,contasapagar@casadoeletricistaam.com.br,Davi (92) 98101-5728,Manaus - AM,Sim,Casa das Correias,Normal,Habilitado,Manaus
DESPEX,SERV. DE LIMPEZA E CONSERVAÇÃO,wellingtondespex@gmail.com,Wellinton(92) 9298-5501,Manaus - AM,Sim,,Normal,Habilitado,Manaus
